DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2020-06-19,49515,2273,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-20,49299,1971,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-21,50012,2312,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-22,49477,2226,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-23,57625,1854,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-24,57940,1183,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-25,58575,1467,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-26,59249,2005,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-27,58406,1011,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-28,60210,1770,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-29,62964,1555,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-06-30,60918,1103,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-07-01,164347,1798,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-07-02,156236,1291,EVERYONE,TRUE,2020-06-18,33.8,4.2
2020-07-03,146280,4074,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-04,152206,9176,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-05,142815,7027,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-06,145284,5883,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-07,157787,7285,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-08,153433,3926,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-09,152500,7192,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-10,161553,2661,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-11,152527,3270,EVERYONE,TRUE,2020-07-02,34.5,4.2
2020-07-12,141258,3155,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-13,148971,3715,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-14,145561,1923,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-15,146783,1470,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-16,152890,2320,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-17,163557,3007,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-18,162632,2555,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-19,159140,3149,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-20,148595,4135,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-21,155792,3649,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-22,156878,2092,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-23,164616,3891,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-24,168058,2834,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-25,151226,2971,EVERYONE,TRUE,2020-07-11,34.3,4.2
2020-07-26,148950,1129,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-07-27,150561,3317,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-07-28,165986,3694,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-07-29,159693,1235,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-07-30,168339,2264,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-07-31,170653,3562,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-01,169433,2676,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-02,156219,2154,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-03,165620,2894,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-04,156342,2043,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-05,165990,2323,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-06,168034,2415,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-07,168233,587,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-08,165527,649,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-09,163265,766,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-10,165294,670,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-11,169912,694,EVERYONE,TRUE,2020-07-25,34.3,4.2
2020-08-12,171404,772,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-13,167540,633,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-14,167674,650,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-15,166095,990,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-16,163681,815,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-17,164086,1776,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-18,161427,1194,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-19,161674,868,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-20,163008,985,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-21,165712,804,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-22,160285,834,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-23,156922,557,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-24,162883,879,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-25,164797,909,EVERYONE,TRUE,2020-08-11,35.2,4.2
